Temperatures for Japan in range -500.0 and 500.0
Temperature, Year, Month_Avg, Country, Country_Code
-1.91(C) 28.57(F), 2011, Jan, Japan, JPN
-1.60(C) 29.12(F), 2001, Jan, Japan, JPN
-1.31(C) 29.64(F), 2013, Jan, Japan, JPN
-1.28(C) 29.70(F), 2012, Feb, Japan, JPN
-1.18(C) 29.87(F), 2012, Jan, Japan, JPN
-1.06(C) 30.09(F), 2000, Feb, Japan, JPN
-0.97(C) 30.26(F), 2006, Jan, Japan, JPN
-0.91(C) 30.37(F), 2003, Jan, Japan, JPN
-0.81(C) 30.55(F), 2008, Feb, Japan, JPN
-0.65(C) 30.84(F), 2005, Feb, Japan, JPN
-0.61(C) 30.89(F), 2001, Feb, Japan, JPN
-0.49(C) 31.12(F), 2008, Jan, Japan, JPN
-0.39(C) 31.29(F), 2013, Feb, Japan, JPN
-0.38(C) 31.32(F), 2014, Jan, Japan, JPN
-0.37(C) 31.33(F), 2005, Jan, Japan, JPN
-0.30(C) 31.46(F), 2004, Jan, Japan, JPN
-0.14(C) 31.75(F), 2005, Dec, Japan, JPN
0.02(C) 32.04(F), 2014, Feb, Japan, JPN
0.11(C) 32.19(F), 2016, Jan, Japan, JPN
0.20(C) 32.36(F), 2003, Feb, Japan, JPN
0.24(C) 32.44(F), 2010, Jan, Japan, JPN
0.41(C) 32.74(F), 2015, Jan, Japan, JPN
0.56(C) 33.00(F), 2006, Feb, Japan, JPN
0.61(C) 33.09(F), 2009, Jan, Japan, JPN
0.64(C) 33.16(F), 2002, Jan, Japan, JPN
0.88(C) 33.58(F), 2010, Feb, Japan, JPN
0.90(C) 33.62(F), 2016, Feb, Japan, JPN
0.92(C) 33.65(F), 2000, Jan, Japan, JPN
0.92(C) 33.66(F), 2012, Dec, Japan, JPN
0.98(C) 33.77(F), 2015, Feb, Japan, JPN
1.04(C) 33.87(F), 2007, Jan, Japan, JPN
1.07(C) 33.93(F), 2014, Dec, Japan, JPN
1.23(C) 34.21(F), 2001, Dec, Japan, JPN
1.24(C) 34.23(F), 2011, Feb, Japan, JPN
1.33(C) 34.39(F), 2002, Dec, Japan, JPN
1.43(C) 34.57(F), 2002, Feb, Japan, JPN
1.54(C) 34.77(F), 2011, Dec, Japan, JPN
1.59(C) 34.87(F), 2009, Feb, Japan, JPN
1.60(C) 34.88(F), 2004, Feb, Japan, JPN
1.99(C) 35.57(F), 2000, Dec, Japan, JPN
2.14(C) 35.86(F), 2007, Feb, Japan, JPN
2.37(C) 36.27(F), 2011, Mar, Japan, JPN
2.39(C) 36.31(F), 2013, Dec, Japan, JPN
2.56(C) 36.61(F), 2009, Dec, Japan, JPN
2.87(C) 37.16(F), 2005, Mar, Japan, JPN
2.89(C) 37.20(F), 2006, Dec, Japan, JPN
2.90(C) 37.22(F), 2003, Mar, Japan, JPN
2.95(C) 37.31(F), 2007, Dec, Japan, JPN
3.00(C) 37.39(F), 2003, Dec, Japan, JPN
3.00(C) 37.39(F), 2000, Mar, Japan, JPN
3.18(C) 37.72(F), 2012, Mar, Japan, JPN
3.19(C) 37.74(F), 2016, Dec, Japan, JPN
3.32(C) 37.97(F), 2010, Dec, Japan, JPN
3.39(C) 38.10(F), 2001, Mar, Japan, JPN
3.41(C) 38.15(F), 2006, Mar, Japan, JPN
3.42(C) 38.15(F), 2008, Dec, Japan, JPN
3.46(C) 38.22(F), 2010, Mar, Japan, JPN
3.48(C) 38.26(F), 2004, Dec, Japan, JPN
3.89(C) 39.00(F), 2004, Mar, Japan, JPN
3.90(C) 39.03(F), 2014, Mar, Japan, JPN
3.99(C) 39.18(F), 2015, Dec, Japan, JPN
3.99(C) 39.19(F), 2007, Mar, Japan, JPN
4.20(C) 39.57(F), 2009, Mar, Japan, JPN
4.59(C) 40.27(F), 2013, Mar, Japan, JPN
4.76(C) 40.57(F), 2016, Mar, Japan, JPN
4.86(C) 40.74(F), 2015, Mar, Japan, JPN
4.88(C) 40.78(F), 2008, Mar, Japan, JPN
5.40(C) 41.72(F), 2002, Mar, Japan, JPN
5.48(C) 41.87(F), 2002, Nov, Japan, JPN
6.97(C) 44.54(F), 2016, Nov, Japan, JPN
7.32(C) 45.18(F), 2012, Nov, Japan, JPN
7.41(C) 45.34(F), 2001, Nov, Japan, JPN
7.59(C) 45.67(F), 2008, Nov, Japan, JPN
7.60(C) 45.67(F), 2007, Nov, Japan, JPN
7.67(C) 45.81(F), 2013, Nov, Japan, JPN
7.90(C) 46.21(F), 2000, Nov, Japan, JPN
7.90(C) 46.22(F), 2005, Nov, Japan, JPN
7.95(C) 46.30(F), 2010, Apr, Japan, JPN
7.99(C) 46.38(F), 2010, Nov, Japan, JPN
8.04(C) 46.47(F), 2006, Apr, Japan, JPN
8.08(C) 46.55(F), 2009, Nov, Japan, JPN
8.63(C) 47.54(F), 2007, Apr, Japan, JPN
8.66(C) 47.59(F), 2014, Nov, Japan, JPN
8.77(C) 47.79(F), 2006, Nov, Japan, JPN
8.80(C) 47.84(F), 2011, Apr, Japan, JPN
8.84(C) 47.92(F), 2013, Apr, Japan, JPN
8.86(C) 47.95(F), 2000, Apr, Japan, JPN
9.24(C) 48.63(F), 2015, Nov, Japan, JPN
9.29(C) 48.72(F), 2014, Apr, Japan, JPN
9.33(C) 48.80(F), 2011, Nov, Japan, JPN
9.33(C) 48.80(F), 2012, Apr, Japan, JPN
9.43(C) 48.98(F), 2003, Nov, Japan, JPN
9.55(C) 49.19(F), 2004, Nov, Japan, JPN
9.65(C) 49.37(F), 2005, Apr, Japan, JPN
9.78(C) 49.60(F), 2009, Apr, Japan, JPN
9.91(C) 49.83(F), 2004, Apr, Japan, JPN
9.91(C) 49.84(F), 2008, Apr, Japan, JPN
9.91(C) 49.84(F), 2003, Apr, Japan, JPN
9.92(C) 49.85(F), 2001, Apr, Japan, JPN
10.32(C) 50.58(F), 2015, Apr, Japan, JPN
10.45(C) 50.82(F), 2016, Apr, Japan, JPN
10.98(C) 51.76(F), 2002, Apr, Japan, JPN
13.07(C) 55.53(F), 2003, Oct, Japan, JPN
13.15(C) 55.67(F), 2005, May, Japan, JPN
13.46(C) 56.22(F), 2015, Oct, Japan, JPN
13.67(C) 56.60(F), 2002, Oct, Japan, JPN
13.67(C) 56.61(F), 2010, May, Japan, JPN
13.74(C) 56.73(F), 2011, May, Japan, JPN
13.76(C) 56.76(F), 2004, Oct, Japan, JPN
13.85(C) 56.93(F), 2014, Oct, Japan, JPN
13.90(C) 57.03(F), 2001, Oct, Japan, JPN
13.92(C) 57.05(F), 2013, May, Japan, JPN
13.96(C) 57.13(F), 2009, Oct, Japan, JPN
14.07(C) 57.32(F), 2000, Oct, Japan, JPN
14.18(C) 57.52(F), 2008, May, Japan, JPN
14.20(C) 57.56(F), 2011, Oct, Japan, JPN
14.25(C) 57.65(F), 2016, Oct, Japan, JPN
14.29(C) 57.72(F), 2006, May, Japan, JPN
14.30(C) 57.74(F), 2007, May, Japan, JPN
14.32(C) 57.78(F), 2007, Oct, Japan, JPN
14.37(C) 57.86(F), 2002, May, Japan, JPN
14.41(C) 57.93(F), 2012, May, Japan, JPN
14.48(C) 58.06(F), 2012, Oct, Japan, JPN
14.51(C) 58.12(F), 2003, May, Japan, JPN
14.51(C) 58.12(F), 2006, Oct, Japan, JPN
14.53(C) 58.16(F), 2010, Oct, Japan, JPN
14.58(C) 58.24(F), 2008, Oct, Japan, JPN
14.75(C) 58.54(F), 2001, May, Japan, JPN
14.76(C) 58.56(F), 2014, May, Japan, JPN
14.76(C) 58.57(F), 2000, May, Japan, JPN
14.76(C) 58.57(F), 2005, Oct, Japan, JPN
15.07(C) 59.13(F), 2009, May, Japan, JPN
15.10(C) 59.18(F), 2013, Oct, Japan, JPN
15.11(C) 59.21(F), 2004, May, Japan, JPN
15.82(C) 60.48(F), 2015, May, Japan, JPN
15.88(C) 60.58(F), 2016, May, Japan, JPN
17.60(C) 63.67(F), 2008, Jun, Japan, JPN
17.82(C) 64.08(F), 2012, Jun, Japan, JPN
17.84(C) 64.11(F), 2002, Jun, Japan, JPN
18.03(C) 64.46(F), 2006, Jun, Japan, JPN
18.04(C) 64.47(F), 2015, Jun, Japan, JPN
18.22(C) 64.80(F), 2000, Jun, Japan, JPN
18.38(C) 65.08(F), 2003, Jun, Japan, JPN
18.45(C) 65.20(F), 2001, Jun, Japan, JPN
18.46(C) 65.24(F), 2016, Jun, Japan, JPN
18.48(C) 65.27(F), 2009, Jun, Japan, JPN
18.80(C) 65.85(F), 2011, Jun, Japan, JPN
18.83(C) 65.89(F), 2013, Jun, Japan, JPN
18.96(C) 66.13(F), 2007, Jun, Japan, JPN
18.97(C) 66.15(F), 2001, Sep, Japan, JPN
18.97(C) 66.15(F), 2015, Sep, Japan, JPN
19.06(C) 66.31(F), 2014, Jun, Japan, JPN
19.15(C) 66.48(F), 2014, Sep, Japan, JPN
19.19(C) 66.54(F), 2010, Jun, Japan, JPN
19.21(C) 66.59(F), 2009, Sep, Japan, JPN
19.25(C) 66.65(F), 2005, Jun, Japan, JPN
19.29(C) 66.72(F), 2004, Jun, Japan, JPN
19.43(C) 66.98(F), 2002, Sep, Japan, JPN
19.51(C) 67.12(F), 2006, Sep, Japan, JPN
19.62(C) 67.31(F), 2003, Jul, Japan, JPN
19.80(C) 67.63(F), 2003, Sep, Japan, JPN
20.10(C) 68.18(F), 2008, Sep, Japan, JPN
20.31(C) 68.55(F), 2000, Sep, Japan, JPN
20.32(C) 68.57(F), 2013, Sep, Japan, JPN
20.43(C) 68.77(F), 2004, Sep, Japan, JPN
20.59(C) 69.06(F), 2005, Sep, Japan, JPN
20.60(C) 69.07(F), 2016, Sep, Japan, JPN
20.63(C) 69.14(F), 2011, Sep, Japan, JPN
20.85(C) 69.53(F), 2007, Jul, Japan, JPN
21.14(C) 70.05(F), 2010, Sep, Japan, JPN
21.17(C) 70.10(F), 2007, Sep, Japan, JPN
21.26(C) 70.26(F), 2012, Sep, Japan, JPN
21.46(C) 70.63(F), 2009, Jul, Japan, JPN
21.68(C) 71.02(F), 2006, Jul, Japan, JPN
21.68(C) 71.03(F), 2005, Jul, Japan, JPN
22.26(C) 72.06(F), 2003, Aug, Japan, JPN
22.36(C) 72.25(F), 2015, Jul, Japan, JPN
22.44(C) 72.39(F), 2016, Jul, Japan, JPN
22.57(C) 72.62(F), 2009, Aug, Japan, JPN
22.62(C) 72.71(F), 2012, Jul, Japan, JPN
22.67(C) 72.80(F), 2002, Jul, Japan, JPN
22.74(C) 72.94(F), 2014, Jul, Japan, JPN
22.81(C) 73.06(F), 2001, Aug, Japan, JPN
22.97(C) 73.35(F), 2002, Aug, Japan, JPN
23.00(C) 73.41(F), 2008, Aug, Japan, JPN
23.01(C) 73.41(F), 2008, Jul, Japan, JPN
23.11(C) 73.61(F), 2014, Aug, Japan, JPN
23.14(C) 73.66(F), 2011, Jul, Japan, JPN
23.21(C) 73.77(F), 2015, Aug, Japan, JPN
23.21(C) 73.78(F), 2001, Jul, Japan, JPN
23.24(C) 73.83(F), 2010, Jul, Japan, JPN
23.31(C) 73.96(F), 2000, Jul, Japan, JPN
23.32(C) 73.97(F), 2004, Aug, Japan, JPN
23.32(C) 73.98(F), 2013, Jul, Japan, JPN
23.48(C) 74.26(F), 2004, Jul, Japan, JPN
23.93(C) 75.07(F), 2011, Aug, Japan, JPN
23.98(C) 75.17(F), 2005, Aug, Japan, JPN
24.25(C) 75.64(F), 2000, Aug, Japan, JPN
24.38(C) 75.89(F), 2007, Aug, Japan, JPN
24.44(C) 75.98(F), 2006, Aug, Japan, JPN
24.50(C) 76.09(F), 2016, Aug, Japan, JPN
24.55(C) 76.20(F), 2012, Aug, Japan, JPN
