Top 10 Highest and Lowest temperatures
Temperature, Year, Month_Avg, Country, Country_Code
-29.66(C) -21.40(F), 2002, Feb, Greenland, GRL
-29.64(C) -21.36(F), 2006, Jan, Russia, RUS
-29.55(C) -21.19(F), 2009, Mar, Greenland, GRL
-29.38(C) -20.88(F), 2001, Mar, Greenland, GRL
-29.09(C) -20.36(F), 2002, Mar, Greenland, GRL
-29.02(C) -20.24(F), 2008, Mar, Greenland, GRL
-28.58(C) -19.45(F), 2014, Mar, Greenland, GRL
-28.29(C) -18.92(F), 2000, Mar, Greenland, GRL
-28.08(C) -18.55(F), 2003, Mar, Greenland, GRL
-28.07(C) -18.52(F), 2001, Jan, Russia, RUS
37.82(C) 100.07(F), 2012, Jul, Kuwait, KWT
37.83(C) 100.10(F), 2012, Aug, Kuwait, KWT
37.88(C) 100.19(F), 2010, Jul, Bahrain, BHR
37.91(C) 100.24(F), 2012, Jul, Bahrain, BHR
38.00(C) 100.40(F), 2010, Jul, Kuwait, KWT
38.03(C) 100.45(F), 2000, Jul, Kuwait, KWT
38.06(C) 100.51(F), 2016, Aug, Kuwait, KWT
38.12(C) 100.61(F), 2015, Aug, Kuwait, KWT
38.29(C) 100.92(F), 2016, Jul, Bahrain, BHR
38.57(C) 101.42(F), 2016, Jul, Kuwait, KWT
