Top climate change in Jan month for year 2000 and 2016
Temperature, Year, Month_Avg, Country, Country_Code
3.41(C) 38.13(F), 16, Jan, Portugal, PRT
3.54(C) 38.37(F), 16, Jan, Spain, ESP
3.93(C) 39.07(F), 16, Jan, Lithuania, LTU
4.25(C) 39.65(F), 16, Jan, Greenland, GRL
4.64(C) 40.35(F), 16, Jan, Canada, CAN
4.70(C) 40.47(F), 16, Jan, Latvia, LVA
5.02(C) 41.04(F), 16, Jan, Norway, NOR
5.63(C) 42.13(F), 16, Jan, Sweden, SWE
5.99(C) 42.78(F), 16, Jan, Estonia, EST
6.90(C) 44.42(F), 16, Jan, Finland, FIN
